site,year,n,smf,yslf,ytnf,ffi
gran,1783,0,0.8484333469104333,1,6,7
gran,1784,1,0.7949515017109999,2,5,7
gran,1785,5,0.42785798756567867,3,4,7
gran,1786,1,0.13203538324062317,4,3,7
gran,1787,1,-0.14636076300055634,5,2,7
gran,1788,1,-0.5027645904534018,6,1,7
gran,1789,1,-0.7102819538596332,0,0,0
gran,1790,1,-1.0419371758273035,1,41,42
gran,1791,0,-1.0450923190047798,2,40,42
gran,1792,2,-0.8256758683866234,3,39,42
gran,1793,0,-0.7648601576753884,4,38,42
gran,1794,1,-0.6655008012713187,5,37,42
gran,1795,1,0.03884580190885981,6,36,42
gran,1796,0,0.16039463404748022,7,35,42
gran,1797,1,0.059194859837787495,8,34,42
gran,1798,1,-0.06612130792566127,9,33,42
gran,1799,1,-0.08055258461620601,10,32,42
gran,1800,2,-0.09144711054699904,11,31,42
gran,1801,2,0.23946730460706744,12,30,42
gran,1802,3,0.1324053949957853,13,29,42
gran,1803,2,0.11878530693796074,14,28,42
gran,1804,2,-0.06720103415191217,15,27,42
gran,1805,1,-0.385563256487315,16,26,42
gran,1806,0,-0.8018842417348213,17,25,42
gran,1807,1,-0.7003335862863941,18,24,42
gran,1808,0,-0.5321422852328126,19,23,42
gran,1809,0,-0.4352594673277079,20,22,42
gran,1810,3,-0.2691139216530563,21,21,42
gran,1811,1,-0.18460382820180182,22,20,42
gran,1812,2,-0.06531523055183987,23,19,42
gran,1813,2,0.08100613296388828,24,18,42
gran,1814,2,0.23726038974734093,25,17,42
gran,1815,0,0.15848786222206732,26,16,42
gran,1816,2,0.27919926503288534,27,15,42
gran,1817,1,-0.08332473870949239,28,14,42
gran,1818,2,-0.2933268194944093,29,13,42
gran,1819,1,-0.3417997040751215,30,12,42
gran,1820,3,-0.4147297346774615,31,11,42
gran,1821,3,-0.6611812716222695,32,10,42
gran,1822,3,-0.49515004354960634,33,9,42
gran,1823,1,-0.43607238804082243,34,8,42
gran,1824,1,-0.3832449607843059,35,7,42
gran,1825,1,-0.192066650449036,36,6,42
gran,1826,1,0.18730893962411396,37,5,42
gran,1827,3,0.35098234979384624,38,4,42
gran,1828,3,0.09322916517046193,39,3,42
gran,1829,2,-0.04070178318732827,40,2,42
gran,1830,6,-0.37385018845927176,41,1,42
gran,1831,0,-1.0336668292246916,0,0,0
gran,1832,6,-1.4035945002705228,0,0,0
gran,1833,6,-1.211104420687072,1,18,19
gran,1834,2,-1.1124365773455367,2,17,19
gran,1835,6,-0.794123654461186,3,16,19
gran,1836,2,-0.12352485525207686,4,15,19
gran,1837,4,-0.1304032609037801,5,14,19
gran,1838,1,-0.25214668386006983,6,13,19
gran,1839,1,-0.3336026656920618,7,12,19
gran,1840,1,-0.26367537527723395,8,11,19
gran,1841,2,-0.25152945346047073,9,10,19
gran,1842,1,0.14739264827880855,10,9,19
gran,1843,0,0.3557608552027437,11,8,19
gran,1844,1,0.3532090363063143,12,7,19
gran,1845,0,0.24746927544989322,13,6,19
gran,1846,1,0.17675421151288287,14,5,19
gran,1847,1,0.3483561114245734,15,4,19
gran,1848,2,0.605601520171585,16,3,19
gran,1849,1,0.38624814726930623,17,2,19
gran,1850,2,0.17475250679029394,18,1,19
gran,1851,4,-0.29894810088888724,0,0,0
gran,1852,1,-0.6875196922726713,1,8,9
gran,1853,3,-1.3238726456056409,2,7,9
gran,1854,1,-1.1888583267167292,3,6,9
gran,1855,0,-1.2865490623139157,4,5,9
gran,1856,1,-1.055709804276322,5,4,9
gran,1857,0,-0.9627857545750242,6,3,9
gran,1858,1,-0.4975463283985072,7,2,9
gran,1859,1,-0.4231559142757466,8,1,9
gran,1860,1,-0.06668899845623866,0,0,0
gran,1861,1,0.30717118783406716,1,16,17
gran,1862,2,0.557212799479699,2,15,17
gran,1863,3,0.7300781754854568,3,14,17
gran,1864,1,0.8801056319245982,4,13,17
gran,1865,2,0.5052464836235795,5,12,17
gran,1866,1,0.16994763621570036,6,11,17
gran,1867,0,-0.09700228178549011,7,10,17
gran,1868,1,-0.44946149467956714,8,9,17
gran,1869,0,-0.6471207484231238,9,8,17
gran,1870,5,-0.2636508530533287,10,7,17
gran,1871,0,-0.35391437219816235,11,6,17
gran,1872,0,-0.594166680973516,12,5,17
gran,1873,1,-0.6343166358069523,13,4,17
gran,1874,0,-0.5116112132234809,14,3,17
gran,1875,2,-0.5276112130863903,15,2,17
gran,1876,0,-0.07072669157137233,16,1,17
gran,1877,3,0.5105838767310105,0,0,0
gran,1878,2,0.7043081561728348,1,21,22
gran,1879,1,0.5284995860599863,2,20,22
gran,1880,1,0.291756955546835,3,19,22
